Country,CountryCode,FDI,energy,trees,CO2aggregate,export,trade,import,GDP,Fuelimports,CO2
Romania,ROU,2.947572771,23.54,30.11582928,73949.99695,40.38322216,69.39886944,44.50457292,4.73858787,7.653472132,3.817434477
Russian Federation,RUS,1.888518541,3.22,49.78433608,1703589.966,28.43343068,39.78450583,20.79532298,2.243979517,0.790085983,11.79720293
Rwanda,RWA,2.541174409,77.86,11.14714228,1330.000043,21.81063968,37.65813829,36.12568778,6.643501213,16.71118936,0.105330369
Saudi Arabia,SAU,0.567755267,0.03,0.454484135,523780.0293,35.57169449,51.61244467,27.24445196,-1.322725826,2.695230258,15.28457873
Sudan,SDN,2.552269688,62.23,9.920615632,20620.00084,0.630574147,40.28068561,0.58827116,-4.489841901,0,0.481626765
Senegal,SEN,4.553491203,37.2,42.11374851,10619.99989,24.98793278,52.66506822,39.26181475,1.775988694,25.85558347,0.651679184
Singapore,SGP,29.69044057,0.84,21.9972067,47380.00107,175.2741157,199.7559177,146.5332956,-0.054554857,20.96644392,8.307079491
Solomon Islands,SLB,2.088225852,48.39,90.16434441,360.0000143,37.64159978,66.93870023,47.95251149,-1.358803484,0,0.537457043
Sierra Leone,SLE,7.395550906,75.44,35.39221391,899.9999762,18.24693608,52.42141118,37.94371433,3.057634091,0,0.115189573
El Salvador,SLV,2.588749059,19.39,28.39671815,7800.000191,29.67584079,65.08986618,46.30099053,1.862065946,14.67222463,1.208637136
Serbia,SRB,8.286467411,21.53,31.12531443,45950.00076,51.01092315,89.99456433,60.94367435,4.893094256,0,6.616046939
Slovak Republic,SVK,2.165384218,17.64,40.05615641,31079.99992,92.26478559,170.5001325,91.8659075,2.466609371,7.730574465,5.698416255
Slovenia,SVN,3.971174061,20.86,61.57307165,13600.00038,83.96346817,164.1783734,75.31285446,2.534090905,9.863758203,6.512209378
Sweden,SWE,2.926743044,52.88,68.69906052,35000,47.80921095,59.85376523,43.62461802,0.957561656,10.55243475,3.405037919
Eswatini,SWZ,2.865405616,65.95,28.85755814,959.9999785,45.94632343,85.84735473,43.24518653,1.541889247,16.00077887,0.836140045
Seychelles,SYC,15.07399713,1.47,73.26086957,610.0000143,91.37599851,100.0458056,101.0238966,2.176192931,16.07480887,6.248399634
Chad,TCD,5.007877902,77.79,3.511753494,2250,36.74225344,47.77749224,37.82827212,0.209664512,0,0.141093412
Togo,TGO,4.787792567,76.21,22.28773672,2369.999886,23.06158195,43.57102197,31.3104877,2.938181662,13.56943319,0.293231207
Thailand,THA,0.880450095,23.96,38.96924974,267089.9963,59.50748534,88.68696943,50.16101017,1.862439871,16.18312217,3.836090019
Tajikistan,TJK,2.56373023,38.56,3.046328986,9420.000076,14.97993927,54.48882338,41.06507664,4.863694198,17.83146729,1.010618692
Timor-Leste,TLS,3.641738786,11.67,62.03765972,620.0000048,27.73957256,36.37816632,54.63118228,17.21141038,0,0.479460533
Tonga,TON,0.340082735,1.77,12.43055556,159.9999964,21.95927159,50.35619597,65.15640226,-0.517228593,0,1.531144401
Tunisia,TUN,1.939471387,12.2,4.51338826,29909.99985,46.09686535,87.37003975,56.56208598,0.200226886,16.71880902,2.557564208
Turkiye,TUR,1.25794275,14.12,28.6687889,396839.9963,32.59735458,51.40285481,30.01452615,-0.427943737,7.201904686,4.75658475
Tanzania,TZA,1.991000159,85.22,52.17204787,12449.99981,16.00786388,23.64694026,16.95125871,2.719329493,21.04743957,0.21463496
Uganda,UGA,3.603324757,90.22,11.86490126,5860.000134,17.10905802,31.85014196,22.25199595,2.734740728,16.2321165,0.132370788
Ukraine,UKR,3.766498364,7.44,16.71384191,174729.9957,41.23169126,72.03785535,49.27954304,3.793723912,20.02026023,3.936583531
Uruguay,URY,2.300844211,60.76,11.48440178,6489.999771,27.75019031,26.0096373,21.85685327,-0.010198984,13.36397477,1.874784543
United States,USA,1.472653799,10.42,33.86692641,4817720.215,11.78953543,19.70097896,14.57938678,1.824124482,8.177818972,14.67341061
Uzbekistan,UZB,3.866754969,1.57,8.316373665,116709.9991,28.42139186,59.90885238,44.435895,3.744517567,4.30343044,3.47554445
Vanuatu,VUT,2.863258066,31.86,36.28383921,209.9999934,50.34527687,44.09913681,49.03769195,0.760014262,0,0.70027542
Samoa,WSM,-0.255727392,34.21,58.32733813,300.0000119,37.7233402,51.64276185,51.75211134,3.868762579,16.99252997,1.522124134
"Yemen, Rep.",YEM,-1.69494388,3.11,1.039831809,11100.00038,7.135395377,54.30011641,47.90673888,-0.906172894,28.41566951,0.380633361
South Africa,ZAF,1.318804454,10.5,14.08509674,439640.0146,27.34218049,50.92508201,26.80806576,-1.196091441,16.89087445,7.507736092
Zambia,ZMB,2.350919043,84.5,60.53651515,6800.000191,34.6361926,61.03737946,34.15501233,-1.451364465,17.39327849,0.380717051
Zimbabwe,ZWE,1.293799271,81.5,45.21300246,11760.00023,31.25104041,47.11607284,32.03087477,-7.46862686,30.52554814,0.80297852
