SNo,Date,Covid Status
1870,2/13/2015,0
1871,2/14/2015,0
1872,2/15/2015,0
1873,2/16/2015,0
1874,2/17/2015,0
1875,2/18/2015,0
1876,2/19/2015,0
1877,2/20/2015,0
1878,2/21/2015,0
1879,2/22/2015,0
1880,2/23/2015,0
1881,2/24/2015,0
1882,2/25/2015,0
1883,2/26/2015,0
1884,2/27/2015,0
1885,2/28/2015,0
1886,3/1/2015,0
1887,3/2/2015,0
1888,3/3/2015,0
1889,3/4/2015,0
1890,3/5/2015,0
1891,3/6/2015,0
1892,3/7/2015,0
1893,3/8/2015,0
1894,3/9/2015,0
1895,3/10/2015,0
1896,3/11/2015,0
1897,3/12/2015,0
1898,3/13/2015,0
1899,3/14/2015,0
1900,3/15/2015,0
1901,3/16/2015,0
1902,3/17/2015,0
1903,3/18/2015,0
1904,3/19/2015,0
1905,3/20/2015,0
1906,3/21/2015,0
1907,3/22/2015,0
1908,3/23/2015,0
1909,3/24/2015,0
1910,3/25/2015,0
1911,3/26/2015,0
1912,3/27/2015,0
1913,3/28/2015,0
1914,3/29/2015,0
1915,3/30/2015,0
1916,3/31/2015,0
1917,4/1/2015,0
1918,4/2/2015,0
1919,4/3/2015,0
1920,4/4/2015,0
1921,4/5/2015,0
1922,4/6/2015,0
1923,4/7/2015,0
1924,4/8/2015,0
1925,4/9/2015,0
1926,4/10/2015,0
1927,4/11/2015,0
1928,4/12/2015,0
1929,4/13/2015,0
1930,4/14/2015,0
1931,4/15/2015,0
1932,4/16/2015,0
1933,4/17/2015,0
1934,4/18/2015,0
1935,4/19/2015,0
1936,4/20/2015,0
1937,4/21/2015,0
1938,4/22/2015,0
1939,4/23/2015,0
1940,4/24/2015,0
1941,4/25/2015,0
1942,4/26/2015,0
1943,4/27/2015,0
1944,4/28/2015,0
1945,4/29/2015,0
1946,4/30/2015,0
1947,5/1/2015,0
1948,5/2/2015,0
1949,5/3/2015,0
1950,5/4/2015,0
1951,5/5/2015,0
1952,5/6/2015,0
1953,5/7/2015,0
1954,5/8/2015,0
1955,5/9/2015,0
1956,5/10/2015,0
1957,5/11/2015,0
1958,5/12/2015,0
1959,5/13/2015,0
1960,5/14/2015,0
1961,5/15/2015,0
1962,5/16/2015,0
1963,5/17/2015,0
1964,5/18/2015,0
1965,5/19/2015,0
1966,5/20/2015,0
1967,5/21/2015,0
1968,5/22/2015,0
1969,5/23/2015,0
1970,5/24/2015,0
1971,5/25/2015,0
1972,5/26/2015,0
1973,5/27/2015,0
1974,5/28/2015,0
1975,5/29/2015,0
1976,5/30/2015,0
1977,5/31/2015,0
1978,6/1/2015,0
1979,6/2/2015,0
1980,6/3/2015,0
1981,6/4/2015,0
1982,6/5/2015,0
1983,6/6/2015,0
1984,6/7/2015,0
1985,6/8/2015,0
1986,6/9/2015,0
1987,6/10/2015,0
1988,6/11/2015,0
1989,6/12/2015,0
1990,6/13/2015,0
1991,6/14/2015,0
1992,6/15/2015,0
1993,6/16/2015,0
1994,6/17/2015,0
1995,6/18/2015,0
1996,6/19/2015,0
1997,6/20/2015,0
1998,6/21/2015,0
1999,6/22/2015,0
2000,6/23/2015,0
2001,6/24/2015,0
2002,6/25/2015,0
2003,6/26/2015,0
2004,6/27/2015,0
2005,6/28/2015,0
2006,6/29/2015,0
2007,6/30/2015,0
2008,7/1/2015,0
2009,7/2/2015,0
2010,7/3/2015,0
2011,7/4/2015,0
2012,7/5/2015,0
2013,7/6/2015,0
2014,7/7/2015,0
2015,7/8/2015,0
2016,7/9/2015,0
2017,7/10/2015,0
2018,7/11/2015,0
2019,7/12/2015,0
